[2023-06-23 16:46:28,470] INFO     (lp.fx.MainApp            ): javafx.scene.control.Tab@2424ab91
[2023-06-23 16:48:42,239] INFO     (lp.fx.MainApp            ): javafx.scene.control.Tab@2424ab91
[2023-06-23 16:52:02,496] INFO     (lp.fx.MainApp            ): 50.0
[2023-06-23 16:52:02,497] INFO     (lp.fx.MainApp            ): 849.0
[2023-06-23 16:52:02,497] INFO     (lp.fx.MainApp            ): 1.7976931348623157E308
[2023-06-23 16:54:50,413] INFO     (lp.fx.MainApp            ): 50.0
[2023-06-23 16:54:50,416] INFO     (lp.fx.MainApp            ): 849.0
[2023-06-23 16:54:50,416] INFO     (lp.fx.MainApp            ): 1.7976931348623157E308
[2023-06-23 16:54:59,643] INFO     (lp.fx.MainApp            ): 50.0
[2023-06-23 16:54:59,643] INFO     (lp.fx.MainApp            ): 849.0
[2023-06-23 16:54:59,645] INFO     (lp.fx.MainApp            ): 47.7
[2023-06-23 16:54:59,691] INFO     (lp.fx.MainApp            ): 50.0
[2023-06-23 16:54:59,691] INFO     (lp.fx.MainApp            ): 849.0
[2023-06-23 16:54:59,692] INFO     (lp.fx.MainApp            ): 47.7
[2023-06-23 16:54:59,728] INFO     (lp.fx.MainApp            ): 50.0
[2023-06-23 16:54:59,728] INFO     (lp.fx.MainApp            ): 849.0
[2023-06-23 16:54:59,728] INFO     (lp.fx.MainApp            ): 47.7
[2023-06-23 16:54:59,764] INFO     (lp.fx.MainApp            ): 50.0
[2023-06-23 16:54:59,764] INFO     (lp.fx.MainApp            ): 849.0
[2023-06-23 16:54:59,764] INFO     (lp.fx.MainApp            ): 47.7
[2023-06-23 16:54:59,783] INFO     (lp.fx.MainApp            ): 50.0
[2023-06-23 16:54:59,783] INFO     (lp.fx.MainApp            ): 849.0
[2023-06-23 16:54:59,783] INFO     (lp.fx.MainApp            ): 47.7
[2023-06-23 16:54:59,819] INFO     (lp.fx.MainApp            ): 50.0
[2023-06-23 16:54:59,819] INFO     (lp.fx.MainApp            ): 849.0
[2023-06-23 16:54:59,820] INFO     (lp.fx.MainApp            ): 47.7
[2023-06-23 16:54:59,867] INFO     (lp.fx.MainApp            ): 50.0
[2023-06-23 16:54:59,867] INFO     (lp.fx.MainApp            ): 849.0
[2023-06-23 16:54:59,867] INFO     (lp.fx.MainApp            ): 47.7
[2023-06-23 16:54:59,883] INFO     (lp.fx.MainApp            ): 50.0
[2023-06-23 16:54:59,883] INFO     (lp.fx.MainApp            ): 849.0
[2023-06-23 16:54:59,883] INFO     (lp.fx.MainApp            ): 47.7
[2023-06-23 16:54:59,916] INFO     (lp.fx.MainApp            ): 50.0
[2023-06-23 16:54:59,916] INFO     (lp.fx.MainApp            ): 849.0
[2023-06-23 16:54:59,918] INFO     (lp.fx.MainApp            ): 47.7
[2023-06-23 16:54:59,932] INFO     (lp.fx.MainApp            ): 50.0
[2023-06-23 16:54:59,933] INFO     (lp.fx.MainApp            ): 849.0
[2023-06-23 16:54:59,933] INFO     (lp.fx.MainApp            ): 47.7
[2023-06-23 16:54:59,946] INFO     (lp.fx.MainApp            ): 50.0
[2023-06-23 16:54:59,946] INFO     (lp.fx.MainApp            ): 849.0
[2023-06-23 16:54:59,946] INFO     (lp.fx.MainApp            ): 47.7
[2023-06-23 16:55:00,009] INFO     (lp.fx.MainApp            ): 50.0
[2023-06-23 16:55:00,009] INFO     (lp.fx.MainApp            ): 849.0
[2023-06-23 16:55:00,009] INFO     (lp.fx.MainApp            ): 47.7
[2023-06-23 16:55:00,081] INFO     (lp.fx.MainApp            ): 50.0
[2023-06-23 16:55:00,081] INFO     (lp.fx.MainApp            ): 849.0
[2023-06-23 16:55:00,081] INFO     (lp.fx.MainApp            ): 47.7
[2023-06-23 16:55:08,617] INFO     (lp.fx.MainApp            ): 49.94110718492344
[2023-06-23 16:55:08,618] INFO     (lp.fx.MainApp            ): 848.0
[2023-06-23 16:55:08,618] INFO     (lp.fx.MainApp            ): 1.7976931348623157E308
[2023-06-23 16:55:08,921] INFO     (lp.fx.MainApp            ): 50.0
[2023-06-23 16:55:08,922] INFO     (lp.fx.MainApp            ): 849.0
[2023-06-23 16:55:08,922] INFO     (lp.fx.MainApp            ): 1.7976931348623157E308
[2023-06-23 16:55:08,941] INFO     (lp.fx.MainApp            ): 50.17667844522968
[2023-06-23 16:55:08,942] INFO     (lp.fx.MainApp            ): 852.0
[2023-06-23 16:55:08,942] INFO     (lp.fx.MainApp            ): 1.7976931348623157E308
[2023-06-23 16:55:08,962] INFO     (lp.fx.MainApp            ): 50.235571260306244
[2023-06-23 16:55:08,962] INFO     (lp.fx.MainApp            ): 853.0
[2023-06-23 16:55:08,962] INFO     (lp.fx.MainApp            ): 1.7976931348623157E308
[2023-06-23 16:55:08,978] INFO     (lp.fx.MainApp            ): 50.294464075382805
[2023-06-23 16:55:08,979] INFO     (lp.fx.MainApp            ): 854.0
[2023-06-23 16:55:08,979] INFO     (lp.fx.MainApp            ): 1.7976931348623157E308
[2023-06-23 16:55:09,026] INFO     (lp.fx.MainApp            ): 50.35335689045936
[2023-06-23 16:55:09,026] INFO     (lp.fx.MainApp            ): 855.0
